query_id,phase2_mode,symptom_text,predicted_diseases,predicted_symptoms,recommended,relevant,half_confirmed_in_top20_total,selection_sources,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr
eval_0011,verified_xgb_ranker,"I have big, painful bumps on my skin that leave scars. How can I treat this?","[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""nodal_skin_eruptions"", ""confidence"": 0.997946216829127}, {""name"": ""scurring"", ""confidence"": 0.9658397681924659}]",doxycycline|isotretinoin|minocycline,doxycycline|clindamycin|sulfamethoxazole / trimethoprim,11,half_confirmed|half_confirmed|half_confirmed,0.2,0.333333,1.0,0.509097,0.1,0.333333,1.0,0.509097,0.05,0.333333,1.0,0.509097,1.0
eval_0006,verified_xgb_ranker,"Every time I eat, I feel sick and my stomach hurts. Sometimes I throw up.","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""abdominal_pain"", ""confidence"": 1.0}, {""name"": ""nausea"", ""confidence"": 1.0}, {""name"": ""vomiting"", ""confidence"": 0.6683868143706897}]",entocort ec|valium|methadone,ciprofloxacin,5,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0009,verified_xgb_ranker,"I'm struggling to breathe, coughing with phlegm, and I'm exhausted. This has been going on for hours.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.95}, {""name"": ""pneumonia"", ""confidence"": 0.93}]","[{""name"": ""breathlessness"", ""confidence"": 0.9923372404635427}, {""name"": ""cough"", ""confidence"": 0.9389295047009071}, {""name"": ""fatigue"", ""confidence"": 0.9658453451250363}, {""name"": ""mucoid_sputum"", ""confidence"": 0.9605658195260526}]",prednisone|xopenex|medrol dosepak|sulfamethoxazole / trimethoprim|azithromycin|ceftriaxone,prednisone,13,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0016,verified_xgb_ranker,My friend's skin has a rash with some scarring from old pimples.,"[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""pus_filled_pimples"", ""confidence"": 1.0}, {""name"": ""scurring"", ""confidence"": 0.8842156943162136}, {""name"": ""skin_rash"", ""confidence"": 0.6489887754712904}]",isotretinoin|accutane|tretinoin,isotretinoin|accutane|adapalene / benzoyl peroxide,14,half_confirmed|half_confirmed|half_confirmed,0.4,0.666667,1.0,0.765361,0.2,0.666667,1.0,0.765361,0.1,0.666667,1.0,0.765361,1.0
eval_0019,verified_xgb_ranker,I can't walk because of the pain in my knees and they're red and swollen.,"[{""name"": ""arthritis"", ""confidence"": 0.36}]","[{""name"": ""painful_walking"", ""confidence"": 0.8842285784961168}, {""name"": ""swelling_joints"", ""confidence"": 0.7190522513938816}]",prednisone|naproxen|acetaminophen / aspirin / caffeine,naproxen|triamcinolone,13,half_confirmed|half_confirmed|half_confirmed,0.2,0.5,1.0,0.386853,0.1,0.5,1.0,0.386853,0.05,0.5,1.0,0.386853,0.5
eval_0010,verified_xgb_ranker,"My joints are so swollen and painful I can't walk, and my skin is covered in red patches.","[{""name"": ""psoriasis"", ""confidence"": 1.0}]","[{""name"": ""joint_pain"", ""confidence"": 1.0}, {""name"": ""skin_rash"", ""confidence"": 0.8037354563267589}]",enbrel|prednisone|ustekinumab,prednisone|enbrel,16,half_confirmed|half_confirmed|half_confirmed,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
eval_0002,verified_xgb_ranker,"I'm gasping for air, my heart is pounding, and I'm sweating. This has never happened before.","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.8820380529026572}, {""name"": ""fast_heart_rate"", ""confidence"": 1.0}, {""name"": ""sweating"", ""confidence"": 1.0}]",metronidazole|adipex-p|acetaminophen / oxycodone,prednisone,9,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0017,verified_xgb_ranker,"I have asthma and now I caught a cold. I'm wheezing, coughing, and have a high fever. It's getting hard to breathe.","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 0.93}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 1.0}, {""name"": ""high_fever"", ""confidence"": 1.0}]",prednisone|xopenex|levalbuterol|dexbrompheniramine / pseudoephedrine|drixoral cold and allergy|prednisone,prednisone|methylprednisolone,5,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|phase2_fallback,0.2,0.5,1.0,0.613147,0.2,1.0,1.0,0.831555,0.1,1.0,1.0,0.831555,1.0
eval_0020,verified_xgb_ranker,"I can't handle this headache anymore, it's throbbing and my sight is blurry. I need advice quickly.","[{""name"": ""migraine"", ""confidence"": 0.71}]","[{""name"": ""visual_disturbances"", ""confidence"": 0.22786976622500868}]",propranolol|rizatriptan|relpax,propranolol,10,half_confirmed|half_confirmed|half_confirmed,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0021,verified_xgb_ranker,Chest pain accompanied by sweating and breathlessness? Time to take action!,"[{""name"": ""heart_attack"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.956037187171419}, {""name"": ""chest_pain"", ""confidence"": 1.0}, {""name"": ""sweating"", ""confidence"": 1.0}]",propranolol|plavix|atenolol,metoprolol,8,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
