query_id,symptom_text,predicted_diseases,predicted_symptoms,recommended,relevant,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr
eval_0011,"I have big, painful bumps on my skin that leave scars. How can I treat this?","[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""nodal_skin_eruptions"", ""confidence"": 0.997946216829127}, {""name"": ""scurring"", ""confidence"": 0.9658397681924659}]",doxycycline|clindamycin|minocycline,doxycycline|clindamycin|sulfamethoxazole / trimethoprim,0.4,0.666667,1.0,0.830301,0.2,0.666667,1.0,0.830301,0.1,0.666667,1.0,0.830301,1.0
eval_0006,"Every time I eat, I feel sick and my stomach hurts. Sometimes I throw up.","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""abdominal_pain"", ""confidence"": 1.0}, {""name"": ""nausea"", ""confidence"": 1.0}, {""name"": ""vomiting"", ""confidence"": 0.6683868143706897}]",entocort ec|donnatal|erlotinib,ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0009,"I'm struggling to breathe, coughing with phlegm, and I'm exhausted. This has been going on for hours.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.95}, {""name"": ""pneumonia"", ""confidence"": 0.93}]","[{""name"": ""breathlessness"", ""confidence"": 0.9923372404635427}, {""name"": ""cough"", ""confidence"": 0.9389295047009071}, {""name"": ""fatigue"", ""confidence"": 0.9658453451250363}, {""name"": ""mucoid_sputum"", ""confidence"": 0.9605658195260526}]",prednisone|xopenex|levalbuterol|azithromycin|ceftriaxone|sulfamethoxazole / trimethoprim,prednisone,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0016,My friend's skin has a rash with some scarring from old pimples.,"[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""pus_filled_pimples"", ""confidence"": 1.0}, {""name"": ""scurring"", ""confidence"": 0.8842156943162136}, {""name"": ""skin_rash"", ""confidence"": 0.6489887754712904}]",isotretinoin|accutane|benzoyl peroxide / clindamycin,isotretinoin|accutane|adapalene / benzoyl peroxide,0.4,0.666667,1.0,0.765361,0.2,0.666667,1.0,0.765361,0.1,0.666667,1.0,0.765361,1.0
eval_0019,I can't walk because of the pain in my knees and they're red and swollen.,"[{""name"": ""arthritis"", ""confidence"": 0.36}]","[{""name"": ""painful_walking"", ""confidence"": 0.8842285784961168}, {""name"": ""swelling_joints"", ""confidence"": 0.7190522513938816}]",diclofenac|stelara|enbrel,naproxen|triamcinolone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0010,"My joints are so swollen and painful I can't walk, and my skin is covered in red patches.","[{""name"": ""psoriasis"", ""confidence"": 1.0}]","[{""name"": ""joint_pain"", ""confidence"": 1.0}, {""name"": ""skin_rash"", ""confidence"": 0.8037354563267589}]",elocon|clobetasol|stelara,prednisone|enbrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0002,"I'm gasping for air, my heart is pounding, and I'm sweating. This has never happened before.","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.8820380529026572}, {""name"": ""fast_heart_rate"", ""confidence"": 1.0}, {""name"": ""sweating"", ""confidence"": 1.0}]",metronidazole|gentamicin|vancocin hcl,prednisone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0017,"I have asthma and now I caught a cold. I'm wheezing, coughing, and have a high fever. It's getting hard to breathe.","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 0.93}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 1.0}, {""name"": ""high_fever"", ""confidence"": 1.0}]",prednisone|xopenex|levalbuterol|doxycycline|prednisone|azithromycin,prednisone|methylprednisolone,0.4,1.0,1.0,0.850345,0.2,1.0,1.0,0.850345,0.1,1.0,1.0,0.850345,1.0
eval_0020,"I can't handle this headache anymore, it's throbbing and my sight is blurry. I need advice quickly.","[{""name"": ""migraine"", ""confidence"": 0.71}]","[{""name"": ""visual_disturbances"", ""confidence"": 0.22786976622500868}]",propranolol|rizatriptan|treximet,propranolol,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0021,Chest pain accompanied by sweating and breathlessness? Time to take action!,"[{""name"": ""heart_attack"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.956037187171419}, {""name"": ""chest_pain"", ""confidence"": 1.0}, {""name"": ""sweating"", ""confidence"": 1.0}]",propranolol|aspirin|enoxaparin,metoprolol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0012,My headache is so bad I'm seeing zigzag lines and I've thrown up twice. I can't function.,"[{""name"": ""migraine"", ""confidence"": 1.0}]","[{""name"": ""headache"", ""confidence"": 0.9740410493112629}, {""name"": ""visual_disturbances"", ""confidence"": 1.0}, {""name"": ""vomiting"", ""confidence"": 0.03949036148641878}]",propranolol|amitriptyline|sumatriptan,propranolol,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0008,I get frequent headaches and often feel down and depressed.,"[{""name"": ""migraine"", ""confidence"": 1.0}]","[{""name"": ""depression"", ""confidence"": 1.0}, {""name"": ""headache"", ""confidence"": 0.8067821073040862}]",propranolol|rizatriptan|treximet,gabapentin|propranolol,0.2,0.5,1.0,0.703918,0.1,0.5,1.0,0.703918,0.05,0.5,1.0,0.703918,1.0
eval_0005,"I have a runny nose, cough, and I'm always tired. Allergies or just a cold?","[{""name"": ""allergy"", ""confidence"": 0.99}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""cough"", ""confidence"": 0.8090259020933156}, {""name"": ""fatigue"", ""confidence"": 0.9981736204346114}, {""name"": ""runny_nose"", ""confidence"": 1.0}]",cyproheptadine|promethazine|prednisone|dexbrompheniramine / pseudoephedrine|drixoral cold and allergy|chlorpheniramine / hydrocodone,promethazine|cyproheptadine,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
eval_0027,Stiffness in my hips and knees makes it hard to walk after resting. Should I see a doctor?,"[{""name"": ""arthritis"", ""confidence"": 1.0}]","[{""name"": ""movement_stiffness"", ""confidence"": 0.8667624087608665}, {""name"": ""painful_walking"", ""confidence"": 0.008258667421495839}]",diclofenac|stelara|enbrel,diclofenac|naproxen|triamcinolone,0.2,0.333333,1.0,0.509097,0.1,0.333333,1.0,0.509097,0.05,0.333333,1.0,0.509097,1.0
eval_0007,"Lately, I've been having headaches, pain when urinating, and I'm easily annoyed. Could these be connected?","[{""name"": ""migraine"", ""confidence"": 0.98}]","[{""name"": ""headache"", ""confidence"": 0.9527310741984026}, {""name"": ""visual_disturbances"", ""confidence"": 0.38011150117253745}]",propranolol|rizatriptan|treximet,propranolol|clonidine|amitriptyline|elavil,0.2,0.25,1.0,0.413557,0.1,0.25,1.0,0.413557,0.05,0.25,1.0,0.413557,1.0
eval_0034,I have pain in my stomach and my knees are swollen. I'm not sure if these issues are related or separate.,"[{""name"": ""arthritis"", ""confidence"": 0.67}]","[{""name"": ""abdominal_pain"", ""confidence"": 0.43408448771429514}, {""name"": ""swelling_joints"", ""confidence"": 0.8612214518673681}]",diclofenac|prednisone|methylprednisolone,prednisone|methylprednisolone|triamcinolone|adalimumab|humira|infliximab|remicade,0.4,0.285714,1.0,0.383566,0.2,0.285714,1.0,0.310866,0.1,0.285714,1.0,0.310866,0.5
eval_0036,My joints are stiff and I have a weird rash that itches. Could these be connected?,"[{""name"": ""arthritis"", ""confidence"": 1.0}, {""name"": ""psoriasis"", ""confidence"": 0.4}]","[{""name"": ""itching"", ""confidence"": 1.0}, {""name"": ""joint_pain"", ""confidence"": 0.03059652023261833}, {""name"": ""movement_stiffness"", ""confidence"": 0.7418497563564299}, {""name"": ""skin_rash"", ""confidence"": 0.9375158821966251}]",prednisone|methotrexate|dexamethasone|prednisone|methotrexate|dexamethasone,doxycycline|prednisone,0.4,1.0,1.0,0.877215,0.2,1.0,1.0,0.877215,0.1,1.0,1.0,0.877215,1.0
eval_0037,I woke up with a stiff neck and now my back is also hurting. Could they be connected?,"[{""name"": ""arthritis"", ""confidence"": 0.46}, {""name"": ""cervical_spondylosis"", ""confidence"": 0.97}]","[{""name"": ""neck_pain"", ""confidence"": 1.0}, {""name"": ""stiff_neck"", ""confidence"": 0.8805633836363593}]",ibuprofen|naproxen|triamcinolone|baclofen|onabotulinumtoxina|botox,diclofenac|onabotulinumtoxina|botox,0.2,0.333333,1.0,0.14704,0.2,0.666667,1.0,0.282432,0.1,0.666667,1.0,0.282432,0.2
eval_0023,My moods are all over the place and my muscles feel weak. Could it be related to high blood pressure or thyroid issues?,"[{""name"": ""hypertension"", ""confidence"": 0.01}, {""name"": ""hyperthyroidism"", ""confidence"": 1.0}]","[{""name"": ""mood_swings"", ""confidence"": 1.0}, {""name"": ""muscle_weakness"", ""confidence"": 1.0}]",clonidine|catapres|hytrin|aluminum chloride hexahydrate|drysol|gabapentin,thyroid desiccated|armour thyroid|levothyroxine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0039,"I've had a cough and congestion for days, and now I'm finding it hard to catch my breath sometimes.","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""congestion"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 1.0}]",prednisone|kenalog-40|triamcinolone|doxycycline|prednisone|azithromycin,prednisone|methylprednisolone,0.4,1.0,1.0,0.850345,0.2,1.0,1.0,0.850345,0.1,1.0,1.0,0.850345,1.0
eval_0029,I've been coughing up phlegm and feel tired all the time. Could this be asthma?,"[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}]","[{""name"": ""cough"", ""confidence"": 0.6611587076285541}, {""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""mucoid_sputum"", ""confidence"": 1.0}, {""name"": ""phlegm"", ""confidence"": 0.9311820638133785}]",prednisone|kenalog-40|triamcinolone,prednisone,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0033,"My daughter has a couple of blisters and red sores on her hands. They don't itch, but I'm keeping an eye on them.","[{""name"": ""impetigo"", ""confidence"": 0.94}]","[{""name"": ""blister"", ""confidence"": 1.0}, {""name"": ""red_sore_around_nose"", ""confidence"": 0.5148600599946715}]",retapamulin|altabax|cefuroxime,cefuroxime|mupirocin|retapamulin,0.4,0.666667,1.0,0.703918,0.2,0.666667,1.0,0.703918,0.1,0.666667,1.0,0.703918,1.0
eval_0041,"I always feel like I need to pee, my urine smells odd, and I have itching down there. What's going on?","[{""name"": ""urinary_tract_infection"", ""confidence"": 1.0}]","[{""name"": ""continuous_feel_of_urine"", ""confidence"": 0.9835338052359116}, {""name"": ""foul_smell_of urine"", ""confidence"": 1.0}, {""name"": ""itching"", ""confidence"": 1.0}]",azithromycin|methenamine|hiprex,doxycycline|azithromycin|sulfamethoxazole / trimethoprim|bactrim|fluconazole,0.2,0.2,1.0,0.249133,0.1,0.2,1.0,0.249133,0.05,0.2,1.0,0.249133,1.0
eval_0018,My friend gets these awful headaches where she sees flashing lights before the pain starts.,"[{""name"": ""migraine"", ""confidence"": 1.0}]","[{""name"": ""headache"", ""confidence"": 0.760199989389204}, {""name"": ""visual_disturbances"", ""confidence"": 1.0}]",propranolol|rizatriptan|treximet,gabapentin|propranolol,0.2,0.5,1.0,0.703918,0.1,0.5,1.0,0.703918,0.05,0.5,1.0,0.703918,1.0
eval_0045,"I get pain in my upper belly, especially after eating, along with acid reflux and indigestion.","[{""name"": ""gerd"", ""confidence"": 1.0}, {""name"": ""peptic_ulcer_diseae"", ""confidence"": 1.0}]","[{""name"": ""abdominal_pain"", ""confidence"": 0.8131433131744776}, {""name"": ""acidity"", ""confidence"": 1.0}, {""name"": ""indigestion"", ""confidence"": 1.0}]",rabeprazole|omeprazole / sodium bicarbonate|lansoprazole|rabeprazole|omeprazole / sodium bicarbonate|lansoprazole,rabeprazole|esomeprazole|lansoprazole,0.6,1.0,1.0,0.906025,0.4,1.333333,1.0,1.073186,0.2,1.333333,1.0,1.073186,1.0
eval_0047,I noticed some red sores around my son's nose that have turned into yellow crusts. What could this be?,"[{""name"": ""impetigo"", ""confidence"": 1.0}]","[{""name"": ""red_sore_around_nose"", ""confidence"": 1.0}, {""name"": ""yellow_crust_ooze"", ""confidence"": 1.0}]",retapamulin|altabax|cefuroxime,mupirocin|retapamulin,0.2,0.5,1.0,0.613147,0.1,0.5,1.0,0.613147,0.05,0.5,1.0,0.613147,1.0
