query_id,symptom_text,predicted_diseases,predicted_symptoms,recommended,relevant,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr
eval_0011,"I have big, painful bumps on my skin that leave scars. How can I treat this?","[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""nodal_skin_eruptions"", ""confidence"": 0.997946216829127}, {""name"": ""scurring"", ""confidence"": 0.9658397681924659}]",granulex|vismodegib|chaparral|finacea|nuox|necon 1 / 35|junel fe 1 / 20|femhrt|salicylic acid/sulfur|salicylic acid / sulfur|trinessa|inova 4 / 1|loestrin 24 fe|benzefoam|necon 7 / 7 / 7|doxycycline|retin a micro|septra|clindamycin|junel fe 1.5 / 30,doxycycline|clindamycin|sulfamethoxazole / trimethoprim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.666667,1.0,0.242345,0.0625
eval_0006,"Every time I eat, I feel sick and my stomach hurts. Sometimes I throw up.","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""abdominal_pain"", ""confidence"": 1.0}, {""name"": ""nausea"", ""confidence"": 1.0}, {""name"": ""vomiting"", ""confidence"": 0.6683868143706897}]",gleevec|stivarga|regorafenib|xeloda|imatinib|avapritinib|my way|mucomyst-10|sincalide|ramucirumab|donnatal|take action|metozolv odt|pylera|midostaurin|erlotinib|rydapt|sunitinib|plan b one-step|next choice,ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0009,"I'm struggling to breathe, coughing with phlegm, and I'm exhausted. This has been going on for hours.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.95}, {""name"": ""pneumonia"", ""confidence"": 0.93}]","[{""name"": ""breathlessness"", ""confidence"": 0.9923372404635427}, {""name"": ""cough"", ""confidence"": 0.9389295047009071}, {""name"": ""fatigue"", ""confidence"": 0.9658453451250363}, {""name"": ""mucoid_sputum"", ""confidence"": 0.9605658195260526}]",cedax|decadron|epogen|ceftibuten|neupogen|ferralet 90|integra|multivitamin with iron|procrit|integra f|oxymetholone|lenalidomide|biaxin|omnicef|epinephrine|leucovorin|filgrastim|epoetin alfa|biaxin xl|gemifloxacin,prednisone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0016,My friend's skin has a rash with some scarring from old pimples.,"[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""pus_filled_pimples"", ""confidence"": 1.0}, {""name"": ""scurring"", ""confidence"": 0.8842156943162136}, {""name"": ""skin_rash"", ""confidence"": 0.6489887754712904}]",finacea|junel fe 1 / 20|desquam-x wash|femhrt|inova 4 / 1|junel fe 1.5 / 30|retin a micro|gildess fe 1 / 20|chaparral|gildess fe 1.5 / 30|ortho-novum 1 / 35|cyclafem 1 / 35|salicylic acid / sulfur|salicylic acid/sulfur|loestrin 24 fe|vincasar pfs|microgestin fe 1 / 20|nuox|resorcinol / sulfur|norinyl 1+35,isotretinoin|accutane|adapalene / benzoyl peroxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0019,I can't walk because of the pain in my knees and they're red and swollen.,"[{""name"": ""arthritis"", ""confidence"": 0.36}]","[{""name"": ""painful_walking"", ""confidence"": 0.8842285784961168}, {""name"": ""swelling_joints"", ""confidence"": 0.7190522513938816}]",orudis kt|lorcet 10 / 650|bextra|ansaid|lortab|prednicot|limbrel 500|zylet|absorbine jr.|relafen|norco|ibu|vicodin|acetaminophen / propoxyphene|tolectin ds|lodine|apremilast|probenecid and colchicine|bioflavonoids / zinc glycinate|valdecoxib,naproxen|triamcinolone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0010,"My joints are so swollen and painful I can't walk, and my skin is covered in red patches.","[{""name"": ""psoriasis"", ""confidence"": 1.0}]","[{""name"": ""joint_pain"", ""confidence"": 1.0}, {""name"": ""skin_rash"", ""confidence"": 0.8037354563267589}]",otezla|apremilast|etanercept|stelara|enbrel|amevive|methotrexate|topicort lp|cosentyx|navane|kenalog-10|otrexup|alefacept|scytera|prolixin|ustekinumab|fluphenazine|reditrex|trilafon|coal tar/salicylic acid/sulfur,prednisone|enbrel,0.2,0.5,1.0,0.272313,0.1,0.5,1.0,0.272313,0.05,0.5,1.0,0.272313,0.2
eval_0002,"I'm gasping for air, my heart is pounding, and I'm sweating. This has never happened before.","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.8820380529026572}, {""name"": ""fast_heart_rate"", ""confidence"": 1.0}, {""name"": ""sweating"", ""confidence"": 1.0}]",epogen|ferralet 90|neupogen|procrit|integra|effient|integra f|multivitamin with iron|filgrastim|lenalidomide|streptokinase|atovaquone|imdur|oxymetholone|leucovorin|epoetin alfa|maxaron forte|brilinta|pyrimethamine|primaquine,prednisone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0017,"I have asthma and now I caught a cold. I'm wheezing, coughing, and have a high fever. It's getting hard to breathe.","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 0.93}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 1.0}, {""name"": ""high_fever"", ""confidence"": 1.0}]",ceftibuten|cedax|biaxin|decadron|omnicef|epinephrine|vantin|deltasone|asthmanefrin|aerobid|advair hfa|theo-24|duoneb|intal inhaler|flunisolide|alahist lq|pulmicort respules|xolair|intal|combivent,prednisone|methylprednisolone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0020,"I can't handle this headache anymore, it's throbbing and my sight is blurry. I need advice quickly.","[{""name"": ""migraine"", ""confidence"": 0.71}]","[{""name"": ""visual_disturbances"", ""confidence"": 0.22786976622500868}]",excedrin sinus headache|wellbutrin|phrenilin|klonopin|sansert|axert|tizanidine|aspirin / butalbital / caffeine / codeine|zecuity|esgic-plus|esgic|zanaflex|riboflavin|imitrex nasal|amrix|excedrin pm|alsuma|fioricet|prodrin|acetaminophen / butalbital / caffeine,propranolol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0021,Chest pain accompanied by sweating and breathlessness? Time to take action!,"[{""name"": ""heart_attack"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.956037187171419}, {""name"": ""chest_pain"", ""confidence"": 1.0}, {""name"": ""sweating"", ""confidence"": 1.0}]",effient|streptokinase|ranolazine|imdur|prasugrel|ticagrelor|tirofiban|ranexa|brilinta|enoxaparin|epinephrine|metoprolol tartrate|bayer aspirin|isosorbide mononitrate|nitro-bid|eptifibatide|bayer aspirin extra strength plus|warfarin|arthritis pain|nitromist,metoprolol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
