mode,query_id,recommended,relevant,verified_eval_split,ranker_used,fallback_mode,ranker_model_type,ranker_family,ranker_train_source,candidate_union_size,disease,strict,symptom,bm25,dense,prior,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr,stage_hit_disease,stage_hit_strict,stage_hit_symptom,stage_hit_bm25,stage_hit_dense,stage_hit_prior,stage_hit_union
verified_learned_rerank,eval_0011,doxycycline | isotretinoin | clindamycin | cephalexin | accutane | bactrim | sulfamethoxazole / trimethoprim | minocycline | tretinoin | keflex | benzoyl peroxide / clindamycin | epiduo | adapalene / benzoyl peroxide | doxy 100 | magnesium hydroxide | phillips' milk of magnesia | claravis | benzaclin | spironolactone | duac,doxycycline | clindamycin | sulfamethoxazole / trimethoprim,all,True,False,logreg,logreg,verified_742,300,273,273,180,0,0,0,0.4,0.6666666666666666,1.0,0.7636451603657846,0.3,1.0,1.0,0.8767777767162712,0.15,1.0,1.0,0.8767777767162712,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0006,prednisone | hydrocortisone | triamcinolone | elocon | diclofenac | clobetasol | dexamethasone | desonide | doxycycline | ciprofloxacin | promethazine | chlordiazepoxide / clidinium | clonidine | librax | rabeprazole | flurandrenolide | plan b | cordran tape | atropine / hyoscyamine / phenobarbital / scopolamine | clocortolone,ciprofloxacin,all,True,False,logreg,logreg,verified_742,300,80,80,227,0,0,0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.2890648263178879,0.05,1.0,1.0,0.2890648263178879,0.1,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0009,doxycycline | prednisone | azithromycin | rocephin | tudorza pressair | aclidinium | xopenex | methylprednisolone | omalizumab | ceftriaxone | mometasone | xolair | levalbuterol | primatene mist | accolate | intal inhaler | zafirlukast | guaifenesin | epinephrine | ampicillin,prednisone,all,True,False,logreg,logreg,verified_742,300,221,221,300,0,0,0,0.2,1.0,1.0,0.6309297535714574,0.1,1.0,1.0,0.6309297535714574,0.05,1.0,1.0,0.6309297535714574,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0016,isotretinoin | accutane | benzoyl peroxide / clindamycin | tretinoin | adapalene / benzoyl peroxide | epiduo | magnesium hydroxide | claravis | benzaclin | spironolactone | doxycycline | phillips' milk of magnesia | duac | retin-a | dapsone | aczone | clindamycin / tretinoin | drospirenone / ethinyl estradiol | onexton | benzoyl peroxide / sulfur,isotretinoin | accutane | adapalene / benzoyl peroxide,all,True,False,logreg,logreg,verified_742,300,273,273,300,0,0,0,0.6,1.0,1.0,0.9469024295259745,0.3,1.0,1.0,0.9469024295259745,0.15,1.0,1.0,0.9469024295259745,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0019,doxycycline | ibuprofen | naproxen | triamcinolone | flanax pain reliever | cephalexin | bactrim | sulfamethoxazole / trimethoprim | oxybutynin | avelox | moxifloxacin | doxy 100 | sucralfate | aleve | ditropan xl | naprosyn | ciprofloxacin | levofloxacin | bactrim ds | levaquin,naproxen | triamcinolone,all,True,False,logreg,logreg,verified_742,273,273,273,273,0,0,0,0.4,1.0,1.0,0.5706417189553201,0.2,1.0,1.0,0.5706417189553201,0.1,1.0,1.0,0.5706417189553201,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0010,elocon | clobetasol | stelara | enbrel | ustekinumab | desonide | doxycycline | etanercept | prednisone | flurandrenolide | cordran tape | clocortolone | clobex | cloderm | thiothixene | desowen | methylprednisolone | adalimumab | mometasone | betamethasone,prednisone | enbrel,all,True,False,logreg,logreg,verified_742,300,164,164,300,0,0,0,0.2,0.5,1.0,0.3031610197508214,0.2,1.0,1.0,0.44442799261065036,0.1,1.0,1.0,0.44442799261065036,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0002,doxycycline | prednisone | azithromycin | rocephin | ceftriaxone | sulfamethoxazole / trimethoprim | zithromax | ceftin | avelox | moxifloxacin | amoxicillin | amoxil | amoxicillin / clavulanate | biaxin xl | augmentin | epinephrine | dexamethasone | cefuroxime | clarithromycin | metronidazole,prednisone,all,True,False,logreg,logreg,verified_742,300,202,202,133,0,0,0,0.2,1.0,1.0,0.6309297535714574,0.1,1.0,1.0,0.6309297535714574,0.05,1.0,1.0,0.6309297535714574,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0017,doxycycline | prednisone | methylprednisolone | azithromycin | xopenex | omalizumab | mometasone | rocephin | aclidinium | tudorza pressair | xolair | zafirlukast | ceftriaxone | epinephrine | levalbuterol | primatene mist | yupelri | accolate | intal inhaler | ampicillin,prednisone | methylprednisolone,all,True,False,logreg,logreg,verified_742,300,222,232,242,0,0,0,0.4,1.0,1.0,0.6934264036172708,0.2,1.0,1.0,0.6934264036172708,0.1,1.0,1.0,0.6934264036172708,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0020,clonazepam | klonopin | propranolol | rizatriptan | treximet | lamotrigine | gabapentin | naproxen / sumatriptan | relpax | maxalt | eletriptan | amitriptyline | frovatriptan | sumatriptan | diclofenac | frova | acetaminophen / butalbital / caffeine | maxalt-mlt | bupropion | fioricet,propranolol,all,True,False,logreg,logreg,verified_742,300,179,179,164,0,0,0,0.2,1.0,1.0,0.5,0.1,1.0,1.0,0.5,0.05,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,1.0
verified_learned_rerank,eval_0021,propranolol | verapamil | epinephrine | nitro-bid | enoxaparin | aspirin | nitroglycerin | lovenox | atenolol | nadolol | corgard | plavix | bivalirudin | fragmin | streptokinase | dalteparin | bayer aspirin extra strength plus | angiomax | warfarin | metoprolol,metoprolol,all,True,False,logreg,logreg,verified_742,300,90,90,294,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,1.0,0.22767024869695296,0.05,1.0,1.0,1.0,0.0,0.0,0.0,1.0
